"","c_Ph","c_Ro","c_Zo","c_Mp","c_Det","c_Herb","c_PP","c_PB","c_PS","c_Moll"
"e_Ph",NA,0.465339496477518,0.0946769709918508,-0.188515866060198,0.15588067665513,-0.0662489999215724,0.238443450744285,0.281476186721761,0.0143691428888715,0.195190857644085
"e_Ro",0.350455608418193,NA,0.339980635054673,-0.224328798288472,-0.0326415140892263,0.272087392787617,0.386518007280603,0.340788697860092,-0.0483546945100386,0.322095628121961
"e_Zo",-0.130948754485291,0.348101924345373,NA,0.151663841301262,0.0170890263432627,0.308903305584316,0.275153038175154,0.185029641448527,0.280383815283515,-0.071570554808074
"e_Mp",0.447438720555816,0.334080267472025,0.358639390693168,NA,0.496921954393483,0.461835862812506,0.233371315289147,0.383451770875063,0.421315169993642,0.200148956243455
"e_Det",0.271593594167348,0.136169647430851,0.157240300118101,0.338030109802504,NA,0.13925602788542,-0.129424412081483,0.0753642894907046,0.0870427588949029,0.0301240349472194
"e_Herb",0.229672747288825,0.0418278903387633,0.0274942838480232,0.386560267862518,0.295522888357502,NA,0.367860840105343,0.504384861963498,0.00343665226285276,0.14757084469443
"e_PP",0.249131151523951,0.231974027852974,0.15602075620844,-0.122620834620397,-0.0136440846083292,-0.0291212963226671,NA,0.372547794640921,0.00215339170170213,0.222788607105211
"e_PB",0.0678279579256723,0.021129228555737,-0.0116380708629821,-0.00865056091293071,-0.0466698421729575,0.116861842158363,0.226479699075761,NA,-0.134661598641938,0.0915823934315337
"e_PS",0.0756458805915171,0.124268197474212,0.0872547392716631,0.436912757418448,0.0338907818035472,0.0887479455649227,0.0415492197986813,0.144223085372379,NA,-0.0494792786303872
"e_Moll",0.461289400782271,0.378258670046409,0.127609714563431,0.12660980228629,0.0900791760267107,0.182466180198914,0.258549195922272,0.381940343092371,0.274229555702107,NA
